"padj_threshold","logFC_threshold","n_enrich","n_total","mean_n_DEMGI","PR","label"
0.05,0,3470,40868,5349.05882352941,0.0849075070960164,"0.0849
(5349)"
0.05,0.584962500721156,3339,40868,2465.94117647059,0.0817020651854752,"0.0817
(2466)"
0.05,1,1953,40868,982.470588235294,0.0477880003915044,"0.0478
(982)"
0.1,0,3834,40868,6994.82352941176,0.0938142311833219,"0.0938
(6995)"
0.1,0.584962500721156,3737,40868,3096.11764705882,0.0914407360281883,"0.0914
(3096)"
0.1,1,2293,40868,1229.94117647059,0.0561074679455809,"0.0561
(1230)"
0.2,0,4241,40868,9555.11764705882,0.103773123225996,"0.1038
(9555)"
0.2,0.584962500721156,4223,40868,4011.05882352941,0.103332680826074,"0.1033
(4011)"
0.2,1,2784,40868,1585.52941176471,0.0681217578545561,"0.0681
(1586)"
