"method","cancer","median_rank","min_rank","max_rank","mean_rank"
"TG_ORA","BLCA",0.268642447418738,0.0191204588910134,0.803059273422562,0.310707456978968
"TG_ORA","BRCA",0.50095785440613,0.00191570881226054,1,0.495689655172414
"TG_ORA","CESC",0.540152963671128,0.349904397705545,0.961759082217973,0.597992351816444
"TG_ORA","COAD",0.52952380952381,0.0152380952380952,0.980952380952381,0.48989247311828
"TG_ORA","ESCA",0.388030888030888,0.0810810810810811,0.955598455598456,0.486700986700987
"TG_ORA","KIRC",0.282273603082852,0.0770712909441233,0.789980732177264,0.353243416827232
"TG_ORA","KIRP",0.239463601532567,0.233716475095785,0.779693486590038,0.417624521072797
"TG_ORA","LIHC",0.542471042471042,0.0135135135135135,0.992277992277992,0.531018912374845
"TG_ORA","LUAD",0.54302103250478,0.011472275334608,0.954110898661568,0.527485659655832
"TG_ORA","LUSC",0.483747609942639,0.0325047801147228,0.980879541108987,0.511327423373312
"TG_ORA","PAAD",0.445054945054945,0.103296703296703,0.901098901098901,0.462637362637363
"TG_ORA","PRAD",0.424418604651163,0.0813953488372093,0.988372093023256,0.483253826277082
"TG_ORA","READ",0.374045801526718,0.133587786259542,0.961832061068702,0.427705433318366
"TG_ORA","STAD",0.521153846153846,0.0807692307692308,0.982692307692308,0.491826923076923
"TG_ORA","THCA",0.526112185686654,0.00773694390715667,0.951644100580271,0.508704061895551
"TG_ORA","UCEC",0.560460652591171,0.0844529750479846,0.846449136276392,0.489443378119002
"TG_Score","BLCA",0.268642447418738,0.00191204588910134,0.950286806883365,0.338671128107075
"TG_Score","BRCA",0.458812260536398,0.00191570881226054,1,0.47085832083958
"TG_Score","CESC",0.275334608030593,0.00191204588910134,0.783938814531549,0.334130019120459
"TG_Score","COAD",0.377142857142857,0.0019047619047619,0.834285714285714,0.381013824884793
"TG_Score","ESCA",0.590733590733591,0.216216216216216,0.930501930501931,0.587945087945088
"TG_Score","KIRC",0.431599229287091,0.198458574181118,0.996146435452794,0.522157996146435
"TG_Score","KIRP",0.270114942528736,0.0421455938697318,0.760536398467433,0.357598978288633
"TG_Score","LIHC",0.381274131274131,0.00193050193050193,0.998069498069498,0.409822655585367
"TG_Score","LUAD",0.463671128107075,0.00191204588910134,0.990439770554493,0.479565009560229
"TG_Score","LUSC",0.413001912045889,0.00191204588910134,0.904397705544933,0.432238252505939
"TG_Score","PAAD",0.449450549450549,0.00879120879120879,0.931868131868132,0.440769230769231
"TG_Score","PRAD",0.465116279069767,0.00193798449612403,0.996124031007752,0.471824686940966
"TG_Score","READ",0.381679389312977,0.017175572519084,0.902671755725191,0.381903906600808
"TG_Score","STAD",0.371153846153846,0.00192307692307692,0.938461538461538,0.336538461538462
"TG_Score","THCA",0.460348162475822,0.00193423597678917,0.996131528046422,0.454545454545455
"TG_Score","UCEC",0.524952015355086,0.0825335892514395,0.894433781190019,0.515994881637876
"MiR_ORA","BLCA",0.689292543021032,0.0535372848948375,0.986615678776291,0.579588910133843
"MiR_ORA","BRCA",0.541187739463602,0.00383141762452107,0.996168582375479,0.546539230384808
"MiR_ORA","CESC",0.293499043977055,0.12810707456979,0.458891013384321,0.293499043977055
"MiR_ORA","COAD",0.518095238095238,0.0742857142857143,1,0.531858678955453
"MiR_ORA","ESCA",0.393822393822394,0.0193050193050193,1,0.485628485628486
"MiR_ORA","KIRC",0.719653179190751,0.138728323699422,0.92485549132948,0.598265895953757
"MiR_ORA","KIRP",0.559386973180077,0.0172413793103448,0.685823754789272,0.420817369093231
"MiR_ORA","LIHC",0.510617760617761,0.00579150579150579,0.99034749034749,0.487402656894182
"MiR_ORA","LUAD",0.640535372848948,0.0133843212237094,0.984703632887189,0.611077915869981
"MiR_ORA","LUSC",0.659655831739962,0.00382409177820268,0.998087954110899,0.58508604206501
"MiR_ORA","PAAD",0.384615384615385,0.0021978021978022,0.978021978021978,0.417692307692308
"MiR_ORA","PRAD",0.558139534883721,0.0193798449612403,0.99031007751938,0.523752733055059
"MiR_ORA","READ",0.444656488549618,0.0362595419847328,0.99618320610687,0.474517287831163
"MiR_ORA","STAD",0.628846153846154,0.153846153846154,0.975,0.602083333333333
"MiR_ORA","THCA",0.514506769825919,0.100580270793037,0.988394584139265,0.512772627226039
"MiR_ORA","UCEC",0.714011516314779,0.053742802303263,0.890595009596929,0.571337172104926
"MiR_Score","BLCA",0.616190476190476,0.0171428571428571,0.990476190476191,0.588809523809524
"MiR_Score","BRCA",0.554285714285714,0.0019047619047619,0.998095238095238,0.542846902201741
"MiR_Score","CESC",0.268571428571429,0.0971428571428571,0.432380952380952,0.266666666666667
"MiR_Score","COAD",0.573333333333333,0.0666666666666667,0.900952380952381,0.535852534562212
"MiR_Score","ESCA",0.531428571428571,0.114285714285714,0.992380952380952,0.570095238095238
"MiR_Score","KIRC",0.731428571428571,0.146666666666667,0.868571428571429,0.656190476190476
"MiR_Score","KIRP",0.881904761904762,0.337142857142857,0.971428571428571,0.73015873015873
"MiR_Score","LIHC",0.452290076335878,0.00190839694656489,0.998091603053435,0.493702290076336
"MiR_Score","LUAD",0.492380952380952,0.0285714285714286,0.996190476190476,0.531369047619048
"MiR_Score","LUSC",0.554285714285714,0.0552380952380952,0.988571428571429,0.564502164502165
"MiR_Score","PAAD",0.544761904761905,0.0285714285714286,0.96,0.503203463203463
"MiR_Score","PRAD",0.552380952380952,0.019047619047619,0.982857142857143,0.495531135531136
"MiR_Score","READ",0.504761904761905,0.0285714285714286,0.95047619047619,0.505322128851541
"MiR_Score","STAD",0.720952380952381,0.0247619047619048,0.980952380952381,0.598253968253968
"MiR_Score","THCA",0.713740458015267,0.0973282442748092,0.990458015267176,0.65089058524173
"MiR_Score","UCEC",0.641904761904762,0.487619047619048,0.822857142857143,0.638412698412698
"Edge_ORA","BLCA",0.492424242424242,0.0202020202020202,0.994949494949495,0.484459984459984
"Edge_ORA","BRCA",0.438657407407407,0.00231481481481481,0.990740740740741,0.464558308308308
"Edge_ORA","CESC",0.426253687315634,0.262536873156342,0.548672566371681,0.415929203539823
"Edge_ORA","COAD",0.427692307692308,0.0215384615384615,0.895384615384615,0.40993006993007
"Edge_ORA","ESCA",0.626288659793814,0.134020618556701,0.97680412371134,0.591678939617084
"Edge_ORA","KIRC",0.726984126984127,0.463492063492064,0.86031746031746,0.683597883597884
"Edge_ORA","KIRP",0.631399317406143,0.631399317406143,0.631399317406143,0.631399317406143
"Edge_ORA","LIHC",0.425675675675676,0.00675675675675676,0.962837837837838,0.433330482381115
"Edge_ORA","LUAD",0.319004524886878,0.0113122171945701,0.98868778280543,0.419808949220714
"Edge_ORA","LUSC",0.487179487179487,0.0536130536130536,0.955710955710956,0.511439178105845
