pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
WP_NONSMALL_CELL_LUNG_CANCER,WP_NONSMALL_CELL_LUNG_CANCER,18/3186,72/14741,0.25,1.15670119271814,0.699882200459924,0.282765080468565,0.840262142528748,0.796545172851042,BAX/CASP3/CASP9/CDKN2A/DDB2/E2F1/E2F3/EGF/EGFR/GADD45B/HRAS/MAP2K2/PDK1/RASSF1/RASSF5/STAT5B/TGFA/E2F2,18,176,LUAD,TG_ORA,0.3365200764818356
WIKMAN_ASBESTOS_LUNG_CANCER_DN,WIKMAN_ASBESTOS_LUNG_CANCER_DN,8/3186,30/14741,0.266666666666667,1.23381460556602,0.673128251859091,0.31424191492368603,0.869568896852316,0.824327161955199,ATL2/ATM/MIEF1/PATZ1/RUNX1/SIRT6/PPIG/FNTA,8,189,LUAD,TG_ORA,0.361376673040153
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_NON_SMALL_CELL_LUNG_CANCER,13/3186,54/14741,0.240740740740741,1.11386040780266,0.440138865834407,0.380921993388462,0.937655683933765,0.888871544999101,CASP9/CDKN2A/E2F1/E2F3/EGF/EGFR/HRAS/MAP2K2/PIK3CG/RASSF1/RASSF5/TGFA/E2F2,13,210,LUAD,TG_ORA,0.40152963671128106
DING_LUNG_CANCER_MUTATED_RECURRENTLY,DING_LUNG_CANCER_MUTATED_RECURRENTLY,2/3186,6/14741,0.333333333333333,1.54226825695752,0.697591837583291,0.384240267828603,0.937655683933765,0.888871544999101,EGFR/STK11,2,211,LUAD,TG_ORA,0.40344168260038243
DING_LUNG_CANCER_BY_MUTATION_RATE,DING_LUNG_CANCER_BY_MUTATION_RATE,5/3186,20/14741,0.25,1.15670119271814,0.368218238561031,0.441111750084976,0.989716183042551,0.938223452174785,DDR1/IRS1/PDGFRA/PTPRD/SMG1,5,231,LUAD,TG_ORA,0.4416826003824092
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,44/3186,198/14741,0.222222222222222,1.02817883797168,0.209611606032813,0.444945427644552,0.989716183042551,0.938223452174785,ABCA3/ABCC6/ADCY7/AK1/ALDH3B1/ALDH5A1/AQP3/ATP8A1/ATXN7/CEACAM8/CHTOP/CISH/EDEM1/EN2/GALNT11/GGCX/GON4L/GPRC5A/ICAM4/LIMCH1/LPCAT1/LPIN2/MAP1LC3C/MR1/NAV2/NEDD9/NINJ2/PER1/PSG3/QKI/RANBP17/RBPMS/SLC39A8/UBAP1/UNC13B/ZNF254/IL27RA/CHAT/EPHX1/ELK3/ABCA4/CFAP410/CAVIN2/RO60,44,235,LUAD,TG_ORA,0.44933078393881454
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,101/3186,460/14741,0.219565217391304,1.01588539534376,0.181754129340057,0.446602331162604,0.989716183042551,0.938223452174785,ACP1/ACTR3/ADM/ANGPT2/BIRC5/BRIP1/CAD/CCT5/CDC25A/CDC27/CDC6/CDKN2A/CDKN3/CDYL/CENPM/CENPN/CLPB/CSE1L/DBF4/DDA1/DGUOK/DNAJA1/DR1/DSP/EIF4E2/EXOSC2/FANCA/FBXO11/FIP1L1/GINS1/GNAS/HAUS3/HK2/IPO5/KCTD5/KIF11/KIF2C/KNTC1/LDHB/LRIF1/LSM4/MAPKAPK5/MELK/MFSD12/MOB1A/MSH6/MYBL1/NAB1/NCAPG2/NCAPG/NUDT3/OIP5/PA2G4/PAICS/PARPBP/PLIN2/PMAIP1/POMT2/PPARD/PRPS1/PSME3/PVR/PYGL/QSER1/RACGAP1/RNMT/SLC2A1/SLC38A1/SNRPB/SOD2/SRD5A1/SSX2IP/STC2/SZRD1/THOP1/TRIP13/TRMU/TROAP/TSR1/TTF2/TWSG1/TYMS/UBAC1/UBE2K/UGT8/WDHD1/YME1L1/CD70/KIF15/MTIF2/PKP2/NUP210/ASPM/TEAD4/ELOVL6/PIMREG/CEP43/H2BC9/PCLAF/NEMP1/NSD2,101,236,LUAD,TG_ORA,0.45124282982791586
LI_AMPLIFIED_IN_LUNG_CANCER,LI_AMPLIFIED_IN_LUNG_CANCER,40/3186,183/14741,0.218579234972678,1.01132344718526,0.0809356760554654,0.497079206478914,0.999997065654815,0.947969443339877,ALDOA/CANX/CCT5/CEACAM5/CEACAM6/DAP/DSP/EIF3C/GIPR/HDGF/HYOU1/KPNA4/LDHB/NQO1/PABPC1/PDCD6/PHLDA2/RPL13/RPL27A/RPL28/RPL37/RPL37A/RPS16/SCNN1A/SDHA/SOX4/STAT1/TALDO1/TRAF4/TXNRD1/UCHL1/YWHAQ/ZNF146/CALR/NACA/NME4/ADGRG1/PLPP2/DENND2B/ELOC,40,253,LUAD,TG_ORA,0.4837476099426386
SWEET_LUNG_CANCER_KRAS_UP,SWEET_LUNG_CANCER_KRAS_UP,101/3186,482/14741,0.20954356846473,0.969517182278277,-0.357289905557005,0.657339515873782,0.999997065654815,0.947969443339877,ADCY7/AK1/ALDOA/ANK3/ARL8B/ATP6V1C1/B4GALNT1/BASP1/BCL2A1/BHLHE40/BSG/BST1/C5/CASK/CES3/CH25H/CLDND1/CLIC1/CLU/CRB3/CTSC/CTSS/DAP/DLK1/EDEM1/EEF2/ELF5/ENTPD1/F10/FAM162A/GGCX/GJA3/GNE/GRHPR/HK2/HLA-DMA/HLA-DMB/HNF1B/KCNJ15/LITAF/LPCAT1/LPCAT3/MRPS18B/MT1F/NNT/NUCB2/NUP88/ORM1/PABPC1/PCYOX1/PCYT1A/PDK3/PHB2/PHLDA2/PKHD1/PLA2G5/PLIN2/POLR2E/PPARG/PSMD5/RAP1GAP/RBP4/RNF181/RNF4/RPL28/RPL36/RPL37/RRBP1/S100A1/SHC1/SND1/TBC1D24/TGIF1/TMEM30B/TNFSF9/TOM1L1/TSR1/VAMP2/ZDHHC3/ZDHHC6/CHD4/UBXN1/HAP1/REEP6/ITGB2/HSPA8/ARG2/MTIF2/NPC2/PISD/VAMP8/PGLS/FNTA/ALDOC/TLE5/MYDGF/MIA2/ZFTRAF1/ADGRG1/H2AC8/RO60,101,315,LUAD,TG_ORA,0.6022944550669216
SWEET_LUNG_CANCER_KRAS_DN,SWEET_LUNG_CANCER_KRAS_DN,87/3186,419/14741,0.20763723150358,0.960696933331536,-0.428566546503129,0.684561283683484,0.999997065654815,0.947969443339877,ABCC1/ABLIM1/ACTC1/ADARB1/ADRB3/AHNAK/AKAP12/ANKRD33B/ARHGEF3/ATP2A2/BDNF/BMP6/CFD/CLIC4/DENND4C/EDN1/FOXF2/GADD45B/GPM6B/GPR182/HOXB5/HP/IFITM3/IL11RA/KITLG/KLF2/LEPR/LIFR/LIMCH1/MAP7D1/MAPT/MEF2C/MPDZ/MYH11/MYO6/NDST1/NFIB/NPR3/PCDHA9/PCK1/PDGFRA/PGM2/PKD2/PSIP1/PTGIS/PTPRD/QKI/RAB12/RECK/RHOB/SESN1/SH3BP5/SIAH1/SMAD6/SMARCA2/SNCA/SPEF1/SPOCK2/SULT1A1/SURF2/TAGLN/TCF21/TCF3/TFRC/TNFRSF19/TPRG1L/TWSG1/ZBTB20/HOXA6/ETS2/C3/TNXB/PEG3/IL27RA/GMFG/BPIFB1/DPEP1/ACKR3/HNRNPA1L2/SLC4A5/CYP2F1/TENT5C/RIPOR2/CAVIN2/SEPTIN4/DENND2B/CCN5,87,323,LUAD,TG_ORA,0.6175908221797323
