pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
OSMAN_BLADDER_CANCER_DN,OSMAN_BLADDER_CANCER_DN,127/3338,431/14741,0.294663573085847,1.30126894273771,3.43443678710374,5.0850449604972e-4,0.0265947851434004,0.025050537279081,ABL2/AHCYL1/ARFGAP2/ARHGEF2/ARID1A/ASXL1/ASXL2/ATL2/ATP8B2/BACH2/CACNA1A/CAMK1D/CELF1/CEP57/CHTOP/CSTF3/CTDSP2/CYB561D1/CYTIP/DIABLO/DIDO1/DPF2/EEF1G/ELL3/ENOSF1/FLVCR1/GNAS/GNG7/GOSR1/GRIPAP1/HIF1AN/HMGN4/KCMF1/LEPROTL1/LYRM9/MAML2/MDM4/METTL4/MLH3/MPRIP/MRPS14/MRPS25/MRPS30/MYL12A/MYO1F/NISCH/NUDT5/PIGL/PML/PPM1K/PPP2CA/RABGAP1L/RAD50/RASGRF2/RHOH/RIPK1/RPL13/RPL13A/RPL15/RPL28/RPL36/RPL37/RPS15/RPS16/RPS6/RPS6KA5/SAFB/SAMD4B/SENP1/SIAH1/SKAP1/SKI/SMARCA2/SS18L2/SSU72/ST13/TGFBR2/TMEM63A/TRIM38/TUBD1/UBA52/UBE2B/USP36/UST/VAMP1/VWA8/WIPF2/WIPI2/ZNF230/ZNF275/ZNF398/ZNF493/ZNF506/ZNF544/ZNF763/ZNF780B/ZNF791/ZNF852/ZNF879/RPLP2/NMT2/PRMT2/CELF2/PHF1/ARIH2/SERINC3/OSBPL2/CARD11/CLIP1/TTF1/XPO7/EPB41/IDS/RPS11/CDK12/RIGI/FCMR/H2AC6/H4C8/H2BC21/ARHGAP45/MARCHF6/TENT4A/KMT5B/DMAC1/NSD3/PRUNE1,127,10,BLCA,TG_ORA,0.019120458891013385
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,96/3338,328/14741,0.292682926829268,1.29252217627029,2.89868397836199,0.00287982674971486,0.107582099292919,0.101335257057636,ACOT2/AK2/AKAP12/ARRB2/ASS1/ATP6V1C1/BIRC5/BRCA1/BRIX1/C5orf22/CDC25A/CDC6/CENPA/CENPN/CHAF1A/CKS1B/CLPTM1L/CSTF3/CTPS1/DAB2/DBF4/DEK/E2F1/FAM200B/GCA/GGCT/GMNN/GPATCH11/IMPA2/ITPR1/KIF11/KIF14/KIF2C/KPNA4/MCM8/MELK/MOBP/NAA50/NCAPG2/NCOA6/NEDD9/NEU1/NQO2/NUCB2/NXT2/OSBP/PAK1IP1/PANK1/PARD6B/PLK1/POP4/PPM1D/PRPS2/PSMC4/PXMP4/RACGAP1/RAD1/RBBP4/RBBP7/RBM38/RPA3/RRP1/SAE1/SCML1/SLC25A40/SLC39A8/SPATA13/TCF19/TFRC/TK1/TM4SF1/TOM1L1/TRIP13/TSC22D2/TTC39A/TWSG1/TXNRD1/TYMS/UCK2/USP14/WDHD1/WDR53/XPOT/YWHAQ/ZNF148/ZNF587/ZWINT/ZYG11B/RASL11B/EPHX1/OTULIN/H2BC5/LNPK/TARS1/NEMP1/SMIM29,96,14,BLCA,TG_ORA,0.02676864244741874
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,105/3338,378/14741,0.277777777777778,1.22669928766394,2.41577131952235,0.0104456133391334,0.260145513160323,0.245039952015762,ABCF2/ABI3BP/AKAP12/APLNR/ARRB2/BIRC5/BRCA1/CACUL1/CDC25A/CDC25B/CDC6/CDCA7/CDCP2/CDK9/CELSR3/CENPA/CENPN/CERS2/CKS1B/CLIC4/CTPS1/DAB2/DYRK2/E2F1/EBF1/ENO2/FYN/GFOD1/GNL3L/HDGF/HEYL/HILPDA/HMGCS1/ILF3/KIF11/KIF14/KIF2C/KLHL6/LCOR/MAN1C1/MCM8/MELK/MOBP/NAV2/NCAPG2/NCKIPSD/NEDD9/NEU1/NUDT1/PEA15/PITX2/PLK1/PRSS8/PSMA1/RACGAP1/RAI14/RASSF5/RBM28/RELL1/RRP1/SAE1/SBNO2/SFMBT1/SH3BP5/SLC1A3/SNX5/SPATA13/SSR1/ST3GAL2/STAT5B/TCF19/TFRC/TIMP2/TJP3/TK1/TRIM11/TRIP13/TTC39A/UCK2/VASN/WDHD1/YPEL3/ZNF148/ZNF703/ZWINT/MAP3K14/CD80/PRRC1/DLGAP4/CGN/IDO1/ADAM15/VPS37C/ERBB3/TMEM108/EPHX1/CLN3/SLC44A2/H1-0/MACROH2A1/JPT1/SUSD6/NSD2/PALM2AKAP2/PRUNE1,105,21,BLCA,TG_ORA,0.040152963671128104
OSMAN_BLADDER_CANCER_UP,OSMAN_BLADDER_CANCER_UP,108/3338,403/14741,0.267990074441687,1.1834756403070401,2.02054716652559,0.0265924323755397,0.360889845325951,0.339934482464618,ABHD17A/ACER3/ACTR3/AGO3/AKAP13/ALDH3B1/APPL1/ARPC4/ASB8/ATXN1/BAX/BBX/BLM/BSG/C19orf12/CBX6/CCDC125/CCDC88C/CEP57/CHURC1/CRTAP/CSNK1A1/CTSC/DCAF10/EDEM3/FAR1/FBXO22/FBXO9/GZMH/HAUS6/IL15/INO80D/IRF2BP2/JAZF1/KBTBD6/KHDRBS1/KLF2/KLHL6/KLHL9/KPNB1/LPGAT1/LYST/MAPK14/MOB1A/MR1/MRPS10/NBPF14/NDUFS1/NNT/NUCKS1/NUDT3/NXT2/PHACTR2/PLA2G4A/PRPF40A/PRR11/RAD23B/RAP2A/RASA2/RHOQ/RNH1/RPS6KC1/SAE1/SCP2/SDF4/SERBP1/SLC25A36/SLC25A40/SLC44A1/SMG1/SNRNP48/SNTB2/SOS1/SPIN4/SRP72/SSX2IP/SUGT1/TIPRL/TMEM107/TMEM33/TMX1/TNPO1/TNPO3/TPP1/TTC33/TUBB4B/TYMS/UBE2W/USP47/WDR41/XRCC4/ZFAND3/ZNF148/ZNF562/ZYG11B/ITGB2/YY1/RSF1/ANKRD17/SERINC3/RBMS1/CCND3/EOLA1/ARB2A/FYB1/MACROH2A1/LNPK/RO60,108,37,BLCA,TG_ORA,0.07074569789674952
LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,34/3338,116/14741,0.293103448275862,1.29437924836264,1.72214848953868,0.0566340565157489,0.470152564408518,0.442852772754728,ABL1/ACO1/ANKH/ANP32B/APTX/ASS1/ASTN2/CDK9/CREBL2/CUL5/DOCK8/DUSP22/FUBP3/GNAQ/KLHL9/MSANTD3/MTAP/PSMD5/RAD23B/RARA/RBM18/RNF38/SETX/SLC35D2/SMARCA2/SPTLC1/TDRP/TGFBR1/TNFRSF10C/TOPORS/TOR1B/VPS13A/NUP214/ANK2,34,63,BLCA,TG_ORA,0.12045889101338432
LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,59/3338,226/14741,0.261061946902655,1.15288021548593,1.25308153800156,0.12131889088194,0.634497799312547,0.597655167713137,ABCC4/ABLIM1/AGFG1/AHNAK/AKAP13/AP1G2/ARHGAP1/ATXN1/ATXN7L1/BMS1/CDC27/CDIP1/CFLAR/CHCHD5/CNN2/COL27A1/DGKH/DPP8/DST/DYRK4/EML2/EXT1/EXTL3/FARP2/FGFR3/GPX2/HHAT/HRAS/LPCAT2/MADD/MECOM/MED28/MOB3B/MXD4/NRG4/PDE4D/PML/RALGAPA1/RFX2/RFX5/RMND5A/RPS12/SH3PXD2A/SMAD6/SYTL2/THSD4/TSPYL1/ZNF655/ZNF827/TMEM120A/RGS12/PI4KB/JADE2/GMFG/SORL1/HMBOX1/ARHGEF40/TRIP6/DNAAF9,59,100,BLCA,TG_ORA,0.19120458891013384
WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,6/3338,16/14741,0.375,1.65604403834632,1.4205210662223,0.132446938265285,0.663554011724462,0.625024207481229,GCC2/MADD/MLPH/MYRIP/SYTL2/SYTL5,6,101,BLCA,TG_ORA,0.1931166347992352
KEGG_BLADDER_CANCER,KEGG_BLADDER_CANCER,13/3338,42/14741,0.30952380952381,1.36689349196839,1.28825875984736,0.135851460940559,0.664021626840302,0.625464670144432,CDKN2A/DAPK3/E2F1/E2F3/EGF/EGFR/FGFR3/HRAS/MAP2K2/RASSF1/RPS6KA5/TP53/PGF,13,107,BLCA,TG_ORA,0.2045889101338432
WP_BLADDER_CANCER,WP_BLADDER_CANCER,11/3338,40/14741,0.275,1.2144322947873,0.734732238078127,0.284610260242823,0.832550373977776,0.784207658290428,CDKN2A/DAPK3/E2F1/EGF/EGFR/FGFR3/HRAS/MAP2K2/RASSF1/RPS6KA5/TP53,11,174,BLCA,TG_ORA,0.3326959847036329
HP_BLADDER_NEOPLASM,HP_BLADDER_NEOPLASM,9/3338,34/14741,0.264705882352941,1.1689722623621,0.533672933338143,0.358914156722914,0.957714816153489,0.902104325168226,AXIN2/BAX/DCC/EP300/FGFR3/HRAS/MLH3/TP53/NTHL1,9,196,BLCA,TG_ORA,0.37476099426386233
LINDGREN_BLADDER_CANCER_CLUSTER_2A_DN,LINDGREN_BLADDER_CANCER_CLUSTER_2A_DN,34/3338,141/14741,0.24113475177305,1.06487938163167,0.418814950298434,0.369254152675699,0.966823898763947,0.910684481476356,AK1/ALCAM/AOC3/ARMC8/CLIC4/DAB2/DNAJC10/DUSP22/FAM200B/FUBP3/GNAQ/IFITM1/IQGAP2/MSANTD3/PNMA1/PSIP1/PSMD5/RAD23B/RHOB/RNF38/SCML1/SETX/SOCS3/SON/TGFBR1/TMX4/UBE2E2/ZNF738/RIC1/PER3/TOX2/CELF2/H2BC5/SELENOP,34,199,BLCA,TG_ORA,0.38049713193116635
WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER,WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER,13/3338,52/14741,0.25,1.10402935889754,0.406577952297827,0.394064112004249,0.978762568759883,0.921929922873353,MYH11/PEG3/PLEK/PTGER3/SLC4A4/VCAN/ZCCHC24/ITGB2/FCGRT/ERBB3/CNN1/GCHFR/SELENOP,13,209,BLCA,TG_ORA,0.39961759082217974
LINDGREN_BLADDER_CANCER_CLUSTER_1_UP,LINDGREN_BLADDER_CANCER_CLUSTER_1_UP,28/3338,120/14741,0.233333333333333,1.03042740163771,0.181071165657728,0.463688073614265,0.99999837018423,0.941932650188628,ANP32B/APTX/ASTN2/BBX/BRD3/CDIP1/EIF3L/FUBP3/GNPDA2/LDLRAD4/MLLT3/PSMD5/PYGL/RARA/RBM12/RBM18/RPL15/RPL27A/SNAPC3/STON2/TGFBR1/TMX4/TSPYL1/VPS13A/WDR41/ZCWPW1/RIC1/PGAP4,28,236,BLCA,TG_ORA,0.45124282982791586
LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE,LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE,10/3338,49/14741,0.204081632653061,0.901248456242893,-0.374613841115787,0.69933987161848,0.99999837018423,0.941932650188628,ABI3BP/FYN/IL7R/MOB3A/NAV2/SERPINH1/VCAM1/VCAN/AEBP1/H1-0,10,334,BLCA,TG_ORA,0.638623326959847
LINDGREN_BLADDER_CANCER_CLUSTER_2B,LINDGREN_BLADDER_CANCER_CLUSTER_2B,82/3338,389/14741,0.210796915167095,0.930903932438031,-0.747229939913956,0.78957673546377,0.99999837018423,0.941932650188628,ABI3BP/AIF1/AKAP12/AOC3/APLNR/B3GNT2/BCL2A1/C1R/C1S/CDC25B/CERK/CH25H/CLIC4/COLEC12/DAB2/DDR2/DKK3/DNAJB5/EBF1/EBI3/EMC10/ENTPD1/FAM200B/FYN/GADD45B/GFOD1/GLIPR2/GPM6B/HEYL/HLA-DMA/HMGCS1/IFITM1/IFITM2/IFITM3/IL16/IL7R/IQGAP2/ITGAL/KLHL6/LMCD1/MOB3B/MYO1F/NNMT/NRN1/PCDH7/PDGFRA/PITX2/PNMA1/PRKCH/PTK2/RELL1/RGS5/RHOH/RUNX2/SH2B3/SOCS3/SON/SSR1/STARD4/SYNPO/TACC1/TCF7/TGFBR1/TIMP2/TMTC1/TPM2/UBE2J2/VCAM1/ZNF738/PPP1R18/IL27RA/CCDC80/CELF2/COL16A1/COG8/JAM3/SREBF1/AEBP1/POSTN/TENT5C/FYB1/PALM2AKAP2,82,379,BLCA,TG_ORA,0.7246653919694073
LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP,LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP,1/3338,8/14741,0.125,0.552014679448772,-0.685717965987617,0.871856715823962,0.99999837018423,0.941932650188628,ABL1,1,420,BLCA,TG_ORA,0.8030592734225621
NIKOLSKY_BREAST_CANCER_6P24_P22_AMPLICON,NIKOLSKY_BREAST_CANCER_6P24_P22_AMPLICON,20/3166,21/14741,0.952380952380952,4.43431699906747,8.23644531019997,6.95905744638685e-13,3.63262798701393e-10,3.4575527523101003e-10,CAP2/CD83/DEK/FAM8A1/GFOD1/ID4/KDM1B/KIF13A/MBOAT1/MCUR1/NHLRC1/NOL7/NUP153/PHACTR1/RANBP9/RBM24/RNF144B/RNF182/SIRT5/TPMT,20,1,BRCA,TG_ORA,0.0019157088122605363
NIKOLSKY_BREAST_CANCER_5P15_AMPLICON,NIKOLSKY_BREAST_CANCER_5P15_AMPLICON,18/3166,26/14741,0.692307692307692,3.22340735701443,5.93429697527949,2.33676092297645e-7,5.92895200573149e-5,5.64320497419896e-5,AHRR/BRD9/CCDC127/CEP72/CLPTM1L/EXOC3/LPCAT1/MRPL36/NDUFS6/NKD2/PDCD6/PLEKHG4B/SDHA/SLC12A7/TERT/TPPP/TRIP13/ZDHHC11,18,2,BRCA,TG_ORA,0.0038314176245210726
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,144/3166,465/14741,0.309677419354839,1.44186823711613,5.06360346301777,7.76458503138942e-7,9.0264073602408e-5,8.59137784640786e-5,AAK1/ABCC4/ADORA2B/AKAP12/ALKBH5/ANKH/ANKRD33B/ASXL1/ATM/ATP10D/AXL/BAG2/BASP1/BDNF/BIRC5/BNC2/C1S/CAV2/CDC27/CHST3/CTSC/DAB2/DHX33/DKK3/DOCK10/DSE/EGFR/EIF4A1/EIF5A2/ELAVL1/EMILIN2/EXT1/FAM200B/FAS/FBN1/FER/FOSL2/FOXC1/FOXF2/FOXQ1/FXYD5/FZD2/GALNT2/GLIPR2/GLIS3/GXYLT2/IGF2BP2/IGFBPL1/IL15/IL7R/ILF3/IPO5/ITGA1/ITGAV/ITPRIP/ITSN1/KLHL29/KPNB1/LAYN/LDHB/LTBP2/LUZP1/MAML2/MAP1B/MAP4K4/MAP7D1/MET/MID1/MPRIP/MSANTD3/MTMR2/MXRA7/NAB1/NAV1/NCAPG/NNMT/NOL7/NRP1/NUP155/NUP88/OSMR/PARVA/PDE3A/PDE7B/PFAS/PLAT/PLK1/PNMA2/PPP4R1/PRKD3/PSMB6/PSMB9/PTPRM/PYGL/QKI/RAB31/RAI14/RALBP1/RBMS3/RGS4/RNF182/RTN4/RUNX2/SERPINB1/SH2B3/SKP2/SLIT2/SNRPD1/SOCS3/STAMBPL1/TAP2/TBC1D1/TEAD1/TGFB1I1/TGFBR2/TIMP2/TRAF3/TRIO/TTL/TUBB6/TWSG1/TYMS/UBE2G1/ZYG11B/PPP1R18/ADAMTS5/TOX2/FAM20C/IFNGR2/PXDN/NMT2/IRAK2/ELK3/ARHGEF40/SV2A/CRTAP/ZDHHC2/RFLNB/DIPK1A/P3H1/HACD1/CAVIN2/MTCL1/PALM2AKAP2,144,4,BRCA,TG_ORA,0.007662835249042145
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN,GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN,110/3166,336/14741,0.327380952380952,1.52429646842944,5.08432890121558,8.64598406153333e-7,9.0264073602408e-5,8.59137784640786e-5,ABCC10/APBA3/ARHGAP17/ARHGEF2/ATAD3B/ATAT1/ATXN2L/B4GALT1/CACTIN/CDC42SE1/CHRNB2/CPSF7/CSNK1G2/DAZAP1/DCLRE1C/DEPDC5/DHX33/DOT1L/DPH7/FANCA/FBXL19/GBA2/GRIPAP1/HEYL/HIP1R/IL18BP/ILF3/KCNK5/KCTD13/KHSRP/KLF16/LLGL1/LPAR2/LSM14B/MAP2K2/MARK2/MBD3/MEF2D/MRPS25/MYO9B/PHF21A/PHF5A/PHKG2/PHPT1/PICK1/POLR2F/PPARD/PRRC2A/PTBP1/R3HDM4/RAD54L2/RANBP3/RASSF7/RBM14/REXO1/RTKN/SAFB2/SBNO2/SCUBE1/SEC61A2/SEMA6B/SEMA6C/SETD5/SH3BP2/SLC12A9/SLC23A2/SLC39A3/SMG5/SRCAP/STK11/SUGP2/SUPT7L/TAF1C/TCF3/TCOF1/TLN1/TMEM201/TMEM259/TMEM63A/TNPO3/TPM2/TRAF2/TRMU/UPB1/XPO5/ZBTB5/ZBTB7B/ZC3H7B/ZDHHC24/ATN1/TICAM1/ZNF473/DENND4B/SETD1A/RNPS1/RBBP6/SRRM2/KMT2D/NUP214/ABCA7/GPC2/MTOR/SLC4A11/ACIN1/CAPN15/GLP1R/SYMPK/ZNF436-AS1/CFAP410/KHDC4,110,5,BRCA,TG_ORA,0.009578544061302681
NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON,NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON,13/3166,22/14741,0.590909090909091,2.75129213805777,4.29906966700505,1.3894703691647e-4,0.0103614790386286,0.00986210547737989,ZNF260/ZNF345/ZNF383/ZNF420/ZNF461/ZNF527/ZNF567/ZNF568/ZNF570/ZNF585A/ZNF585B/ZNF790/ZNF829,13,7,BRCA,TG_ORA,0.013409961685823755
PUJANA_BREAST_CANCER_LIT_INT_NETWORK,PUJANA_BREAST_CANCER_LIT_INT_NETWORK,36/3166,101/14741,0.356435643564356,1.65957606499753,3.47855386775078,0.00073614537731010005,0.0343973399493293,0.0327395532488071,ABL1/ACACA/AR/ATM/BCCIP/BLM/CDC25A/CLSPN/CREBBP/CSNK2A1/CTBP1/E2F1/E2F4/EP300/FANCA/FANCD2/FANCG/HMG20B/JAK2/KAT2B/LMO4/MAP2K3/MSH6/PLK1/RAD50/RBBP4/RBBP7/RELA/RFC1/RPA3/SMC1A/SP1/TERF2/TP53/TP53BP1/SEM1,36,11,BRCA,TG_ORA,0.0210727969348659
PUJANA_BRCA1_PCC_NETWORK,PUJANA_BRCA1_PCC_NETWORK,396/3166,1621/14741,0.244293645897594,1.13743924010626,3.067460877222,0.00135404784273961,0.0543702287623136,0.0517498446779835,ABCC1/ABCF2/ABCG2/ACOT13/ACTR3/ADSL/AFG3L2/AHCY/AK2/ALDH5A1/ALKBH1/ANKRD26/ANP32B/API5/ARPC4/ASH2L/ASTN2/ATF2/ATM/ATXN2L/B4GALNT1/BAG1/BAX/BCL7B/BLM/BMS1/BNIP2/BRCA1/BZW1/C6orf62/CAD/CAPRIN1/CARM1/CASP2/CASP3/CBFA2T3/CBFB/CCT5/CD38/CDC25A/CDC27/CDC6/CDK13/CDKN3/CDV3/CEP57/CHAF1A/CKS1B/CLPX/COMP/COX5A/CRLF3/CSE1L/CSNK1G2/CSNK2A1/CSTF3/CTPS1/CUL2/CYB5B/DBF4/DDB2/DDX19B/DEK/DIAPH1/DIDO1/DLD/DLEU1/DR1/E2F1/E2F3/E2F4/EBNA1BP2/EDEM1/EEF1A1/EEF1E1/EEF1G/EEF2/EIF3H/EIF3M/EIF4A1/EIF4E2/EIF5/ELAVL1/ENSA/ERI2/ETF1/EXOG/EXOSC10/FAM76A/FAS/FUBP1/FUS/GALNT2/GCSH/GGCT/GINS1/GIT2/GNAT1/GOSR1/GPLD1/GPN1/GSPT1/GTF2A1/GTF2H3/HAUS3/HDGF/HK2/HMGN4/HNF1A/HNRNPUL1/HS2ST1/HTR7/ILF3/INPP5E/IPO5/IPO7/IRF4/IRF5/ITPKC/JARID2/KCNB1/KCTD20/KHDRBS1/KHSRP/KIF11/KIF14/KIF2C/KLHL18/KNTC1/KPNB1/KRT20/KRT9/LARP4/LDHB/LMNB2/LSM14A/LSM2/LSM3/LSM4/LSM7/MAN1A2/MAPKAPK5/MAT2A/MAZ/MCCC2/MELK/MICB/MIEF1/MOB1A/MPHOSPH10/MR1/MSH5/MSH6/MTAP/MYCBP/NAP1L4/NCBP2/NDUFS1/NDUFS6/NDUFV2/NELFA/NFATC3/NFX1/NHP2/NKRF/NNT/NOP14/NR2C1/NSL1/NUDT1/NUP133/NUP153/NUP155/NUP160/NUP88/NUP93/NXT2/OARD1/OIP5/ORAI2/PA2G4/PABPC1/PAFAH1B2/PAICS/PAK2/PAX5/PCDHA12/PCMT1/PCYT1A/PDE12/PDK1/PDS5A/PFAS/PFKFB2/PFKFB3/PHB2/PIAS2/PIGF/PIK3CG/PLAGL2/PLIN3/PLK1/PMAIP1/POLA2/POLB/POLD2/POLE/POLR2D/POLR3D/POLR3F/POM121/POP4/POU6F1/PPIA/PPM1D/PPP1CC/PPP2R1B/PPP2R5E/PRPF40A/PRPS1/PRPS2/PSIP1/PSMA1/PSMC4/PTBP1/PTGES3/PTPN2/PVR/PWP1/RAB30/RABEP1/RABGAP1L/RAD1/RALY/RANBP1/RANBP9/RASA3/RASSF1/RBBP4/RBBP7/RBCK1/RCOR1/RECK/RFX5/RHOH/RMND5A/RNF126/RNF2/RPA3/RPL11/RPL13A/RPL15/RPL27A/RPL37/RPL5/RPS19/RPS23/RPS6/RPS6KB1/RREB1/RRM1/RRP1B/RSL1D1/RUNX1/SAFB/SEC23IP/SENP3/SERBP1/SFT2D2/SIT1/SLC19A1/SMARCA5/SMC1A/SMN1/SNRPB/SNRPD1/SNRPD3/SPIB/SREK1IP1/SRP72/SRSF1/SSR1/ST3GAL2/STK17B/STOML2/SUB1/SWAP70/TACR3/TAF5L/TATDN2/TBC1D1/TBX1/TCF20/TCF3/TCOF1/TELO2/TFRC/THOP1/TIMELESS/TIMM17A/TIPRL/TK1/TMX1/TNPO3/TP53/TPR/TRAF4/TRAPPC6A/TRIP13/TROAP/TSR1/TTF2/TXNL1/TYMS/UBE2D2/UBE2D3/UBE2E1/UBE2G1/UBE2K/UBFD1/UCK2/UNG/UQCRC2/USP10/VAMP1/VAV1/VDAC2/WDHD1/WDR77/XPOT/XRCC5/YIPF4/ZBTB24/ZC3HAV1/ZCCHC14/ZKSCAN4/ZNF131/ZNF195/ZNF207/ZNF318/ZNF337/ZNF345/ZNF37A/ZNF804A/ZNF8/ZWINT/ZZZ3/YY1/ICE1/RFX4/TAOK2/RPLP2/RNPS1/MED24/DHX16/RBBP6/IDO1/MTIF2/CHERP/PRRC2C/CEBPZ/NUP214/MTOR/UCP2/MYO1A/ARIH2/ATP6V0A2/IL4/CSNK2A2/MRPS18B/PPIG/NUP210/PDS5B/TOP2B/EPB41/TOP3B/NACA/ATP5PB/DMAC2L/CEP43/PUDP/H4C3/KARS1/PUM3/PCLAF/KHDC4/CEP162/MTERF1/NUP42/PRP4K/SEM1/TARS1/ELOC/NEMP1/NSD2/ZPR1,396,13,BRCA,TG_ORA,0.02490421455938697
ZHANG_BREAST_CANCER_PROGENITORS_UP,ZHANG_BREAST_CANCER_PROGENITORS_UP,116/3166,433/14741,0.267898383371824,1.24734367317879,2.73211506242407,0.00446379076514439,0.131754270152491,0.125404346666618,AEBP2/AHCY/ANKRD26/AP1S3/ARAP2/ASXL1/ATXN1/AUTS2/BCAP29/BRCA1/C11orf54/C21orf91/CAPRIN1/CAV2/CD38/CDC25A/CDC6/CDCA7/CEP192/DBF4/DDR1/DNAJA1/EPS8/ERI2/GMNN/GPM6B/HNRNPLL/ILF3/KIF2C/KITLG/LCORL/LMBRD2/LSM7/MBNL3/MELK/MET/MLLT3/MOB4/MTHFD1/N4BP2/NCAPG/NEK1/NUDCD1/NUP155/NVL/OXCT1/PAICS/PANK1/PATZ1/PCYOX1/PDK1/PEX7/PHB2/PHF6/PIGF/PLCB1/POLR3H/PPM1B/PPP2R1A/PRPS2/PRR14L/PWP1/RELL1/RFC1/RFX3/RNMT/RPA3/RPL15/RPRD2/SEC22C/SERBP1/SESN3/SETX/SKA2/SKP2/SMARCA5/SMCHD1/SNX5/STRAP/TAX1BP1/TFRC/TGFA/TIMM17A/TMEM230/TMEM33/TRIP13/TTF2/UBE2B/UBE2D2/UCHL5/UNG/VPS26B/WDR11/WDR3/XRCC5/YWHAQ/ZC3HAV1L/ZFAND6/ZNF136/ZNF148/ZNF160/ZNF267/ZNF770/MAP7D2/TP53BP1/CDKL5/IFT81/PDS5B/INTS2/ZCCHC8/IFTAP/CEP43/CFAP97/ADGRL3/MARCHF6/BCLAF3,116,17,BRCA,TG_ORA,0.032567049808429116
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN,SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN,20/3166,53/14741,0.377358490566038,1.75699352793239,2.88730369393567,0.00505130255136569,0.138777891148047,0.132089462839036,AKAP11/CASP9/CIRBP/CRTC3/DEAF1/DIXDC1/KIF13B/NBR1/NYNRIN/PIGV/RUNX1/SESN1/SIRT3/SMARCA2/STAT5B/ZNF862/TP53BP1/ARHGEF40/JHY/CFAP69,20,19,BRCA,TG_ORA,0.03639846743295019
HP_NEOPLASM_OF_THE_BREAST,HP_NEOPLASM_OF_THE_BREAST,31/3166,96/14741,0.322916666666667,1.50351060749632,2.5884706797934,0.00891381894264561,0.1872457603587,0.178221413368232,ATM/AXIN2/BLM/BRCA1/BRIP1/CASP10/CASP8/CDKN2A/CDKN2B/FAS/GNAS/MEFV/MSH3/MSH6/MUTYH/NQO2/PALB2/POLE/PPM1D/PRLR/RAD50/SLC6A17/STK11/TERF2IP/TERT/TGFBR2/TP53/NTHL1/FGFR2/USF3/ZFTA,31,23,BRCA,TG_ORA,0.044061302681992334
MORF_BRCA1,MORF_BRCA1,73/3166,263/14741,0.277566539923954,1.29235892767499,2.50197891581469,0.00896006334704,0.1872457603587,0.178221413368232,ARL3/ATF2/BARX2/BRCA1/CDYL/CLPX/CNKSR1/COQ7/CSTF3/ELAVL2/EN2/EPHB2/ERCC4/EXTL3/HNF1A/HOXA11/HTR7/IL11RA/IL16/INPP5E/KAZN/KLHL18/LEPROTL1/LPGAT1/LY9/MGA/MSH3/NCKIPSD/NFX1/NKRF/NR2C1/PCF11/PDE4D/PDK3/PHLDB1/PIAS2/PIGF/POLR2K/POLR3F/POP4/POU6F1/POU6F2/PPP1R1A/PSG1/PVR/RAP1A/RPS6KA5/RREB1/RUNX1/RUNX2/SERPINA4/SIGMAR1/SLC2A1/SLC33A1/SLC4A8/SMG1/SPAST/SPRED2/STARD5/SURF2/TAF5L/TMEM11/ZBTB14/ZNF500/JADE3/ATP8B1/FRYL/ATP6V0A2/NMT2/SPA17/H3C6/CEP162/PRELID3A,73,24,BRCA,TG_ORA,0.04597701149425287
NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON,NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON,15/3166,38/14741,0.394736842105263,1.83790770356086,2.70475978198705,0.00896770882943966,0.1872457603587,0.178221413368232,CKS1B/FLAD1/HCN3/PBXIP1/PKLR/PMVK/SHC1/THBS3/THEM5/TRIM46/ZBTB7B/SCAMP3/ADAM15/RUSC1/GBA1,15,25,BRCA,TG_ORA,0.04789272030651341
