pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
LI_LUNG_CANCER,LI_LUNG_CANCER,1/1768,299/248612,0.00334448160535117,0.470293133975998,-0.775642291739981,0.881780789510307,1,0.750828119249172,hsa-miR-29b-2-5p:KIF11,1,322,LUSC,Edge_ORA,0.7505827505827506
WIKMAN_ASBESTOS_LUNG_CANCER_UP,WIKMAN_ASBESTOS_LUNG_CANCER_UP,3/1768,1209/248612,0.00248138957816377,0.348927163917676,-1.92057052173093,0.991676267151834,1,0.750828119249172,hsa-miR-203a-3p:LIFR/hsa-miR-205-3p:LIFR/hsa-miR-5579-3p:LIFR,3,382,LUSC,Edge_ORA,0.8904428904428905
DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY,DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY,1/1768,795/248612,0.00125786163522013,0.176877543470218,-1.96730855230161,0.996596462160828,1,0.750828119249172,hsa-miR-1301-3p:EGFR,1,395,LUSC,Edge_ORA,0.9207459207459208
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,6/1768,2156/248612,0.00278293135435993,0.391329258976318,-2.4022993233106398,0.997908354779068,1,0.750828119249172,hsa-miR-203a-3p:CYTIP/hsa-miR-338-3p:CHAF1A/hsa-miR-34c-3p:YWHAQ/hsa-miR-375-3p:CHAF1A/hsa-miR-4797-3p:CYTIP/hsa-miR-6512-3p:TIMP2,6,401,LUSC,Edge_ORA,0.9347319347319347
FALVELLA_SMOKERS_WITH_LUNG_CANCER,FALVELLA_SMOKERS_WITH_LUNG_CANCER,8/1768,2664/248612,0.003003003003003,0.422275216392863,-2.53721034838489,0.998537960323543,1,0.750828119249172,hsa-miR-105-5p:RNF125/hsa-miR-148b-5p:USP10/hsa-miR-149-3p:RHOB/hsa-miR-200b-3p:FKBP5/hsa-miR-200c-3p:FKBP5/hsa-miR-429:FKBP5/hsa-miR-6499-3p:FKBP5/hsa-miR-6512-3p:FKBP5,8,405,LUSC,Edge_ORA,0.9440559440559441
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,10/1768,3219/248612,0.00310655483069276,0.436836430751238,-2.72178595680266,0.999210487733992,1,0.750828119249172,hsa-miR-138-5p:E2F3/hsa-miR-145-5p:E2F3/hsa-miR-203a-5p:E2F3/hsa-miR-338-5p:PAK2/hsa-miR-34c-5p:E2F3/hsa-miR-3691-5p:PAK2/hsa-miR-376b-3p:E2F3/hsa-miR-4777-3p:KPNA4/hsa-miR-5579-3p:E2F3/hsa-miR-654-5p:KPNA4,10,410,LUSC,Edge_ORA,0.9557109557109557
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_2,SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_2,1/45,243/248612,0.00411522633744856,22.7354366712391,4.56107804840652,0.043055235417893,0.254135280713612,0.216556379555459,hsa-miR-200b-5p:UCHL1,1,17,PAAD,Edge_ORA,0.1619047619047619
SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER,SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER,1/45,288/248612,0.00347222222222222,19.183024691358,4.15429866886394,0.0508270561427223,0.254135280713612,0.216556379555459,hsa-miR-200b-5p:UCHL1,1,21,PAAD,Edge_ORA,0.2
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1,SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1,2/45,6293/248612,3.1781344350866e-4,1.75582746261278,0.817151328864435,0.315886319543502,0.510277900801042,0.43482327386555,hsa-miR-192-3p:CD200/hsa-miR-200b-5p:UCHL1,2,65,PAAD,Edge_ORA,0.6190476190476191
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN,AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN,1/45,7722/248612,1.2950012950013e-4,0.715450804339693,-0.341788595033183,0.758289593666855,0.81245313607163006,0.69231595554976,hsa-miR-203a-3p:LRP2BP,1,98,PAAD,Edge_ORA,0.9333333333333333
