pathway,Description,setSize,enrichmentScore,NES,p_value,padj,qvalue,rank,leading_edge,core_enrichment,cancer,method,relative_rank
IIZUKA_LIVER_CANCER_EARLY_RECURRENCE,IIZUKA_LIVER_CANCER_EARLY_RECURRENCE,3,-0.331306801320182,-0.570970470317221,0.952688172043011,0.99695449114804,0.887352300595085,495,"tags=67%, list=31%, signal=46%",TRIM22/PDGFRA,LIHC,TG_Score,0.9555984555984556
LEE_LIVER_CANCER_CIPROFIBRATE_UP,LEE_LIVER_CANCER_CIPROFIBRATE_UP,15,-0.204509018943915,-0.551211954705456,0.976653696498054,0.997614424410541,0.887939682771422,505,"tags=40%, list=25%, signal=30%",EHHADH/GIPC2/VNN3P/PLIN2/ETS2/CBFA2T3,LIHC,TG_Score,0.974903474903475
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,18,-0.18061324524694,-0.514663157791147,0.990458015267176,0.997614424410541,0.887939682771422,513,"tags=11%, list=11%, signal=10%",SETD5/MSH5,LIHC,TG_Score,0.9903474903474904
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_UP,IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_UP,2,0.32313304949945,0.48607867712047,0.986486486486487,0.997614424410541,0.887939682771422,511,"tags=50%, list=19%, signal=40%",STAT1,LIHC,TG_Score,0.9864864864864865
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,12,0.134526715486846,0.358427492403997,1,1,0.890062995326153,517,"tags=100%, list=87%, signal=13%",USP14/TESK1/TMEM11/INSM1/ATP5F1D/ACP2/THRB/FDX1/PPP1R1A/GAB1/SULT1A1/ZBTB5,LIHC,TG_Score,0.9980694980694981
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,101,0.54072814234771,2.60801774474287,1e-10,6.5375e-9,5.67105263157895e-9,1,"tags=53%, list=21%, signal=43%",GINS1/KIF11/PAICS/DSP/BIRC5/SLC2A1/WDHD1/MELK/KIF2C/ASPM/TRIP13/CDKN3/SRD5A1/BRIP1/CDC6/KIF15/NCAPG2/CDC25A/UGT8/CDYL/MTIF2/CDKN2A/CLPB/ACP1/DBF4/PIMREG/UBE2K/RACGAP1/YME1L1/CSE1L/CENPM/KCTD5/NUP210/SSX2IP/LRIF1/MOB1A/PSME3/PMAIP1/LSM4/ACTR3/CCT5/PARPBP/TROAP/NCAPG/TTF2/PCLAF/PKP2/EIF4E2/GNAS/CAD/QSER1/KNTC1/SLC38A1/NSD2,LUAD,TG_Score,0.0019120458891013384
SWEET_LUNG_CANCER_KRAS_DN,SWEET_LUNG_CANCER_KRAS_DN,87,-0.60342688686549,-2.4844720512971,1e-10,6.5375e-9,5.67105263157895e-9,1,"tags=59%, list=23%, signal=46%",EDN1/BDNF/NPR3/MAP7D1/PTGIS/LIMCH1/LIFR/ANKRD33B/AKAP12/CLIC4/NDST1/LEPR/ZBTB20/QKI/ETS2/HOXA6/GMFG/MPDZ/RIPOR2/SULT1A1/PKD2/AHNAK/PTPRD/SLC4A5/SPOCK2/FOXF2/GPR182/PDGFRA/GADD45B/KLF2/MYH11/SESN1/GPM6B/CAVIN2/TAGLN/CFD/ACTC1/PEG3/IL11RA/PCDHA9/RECK/SNCA/SIAH1/TNXB/CCN5/SMAD6/SEPTIN4/ADARB1/TCF21/HNRNPA1L2/SH3BP5,LUAD,TG_Score,0.0019120458891013384
LI_AMPLIFIED_IN_LUNG_CANCER,LI_AMPLIFIED_IN_LUNG_CANCER,40,0.483301759108693,1.89865637160858,5.3173629468243e-4,0.00897090587480369,0.00778194713100612,31,"tags=60%, list=17%, signal=50%",PLPP2/CEACAM5/SOX4/DSP/DAP/NQO1/ZNF146/PHLDA2/PABPC1/CANX/HDGF/RPL37/STAT1/RPL27A/CALR/CEACAM6/ELOC/UCHL1/CCT5/NME4/TALDO1/TRAF4/YWHAQ/RPL37A,LUAD,TG_Score,0.05927342256214149
LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER,LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER,55,0.378246337063614,1.60840964637381,0.00762188931585263,0.0752122285319043,0.0652439780562559,53,"tags=42%, list=19%, signal=34%",CKS1B/SRD5A1/C5orf22/DAP/NUDT1/CLPTM1L/HDGF/MET/MRPL11/NDUFS6/CCDC127/FASTKD3/MRPL36/TARS1/CCT5/NAT10/PMVK/ATP6V1C1/TPM3/SLC12A7/ZNF3/RIT1/AP4S1,LUAD,TG_Score,0.10133843212237094
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM,13,-0.614416870452654,-1.63592826108287,0.0159243089619644,0.132197041065197,0.114676310152158,63,"tags=31%, list=6%, signal=29%",ACTC1/TNXB/A2M/ALDOA,LUAD,TG_Score,0.12045889101338432
HATADA_METHYLATED_IN_LUNG_CANCER_UP,HATADA_METHYLATED_IN_LUNG_CANCER_UP,93,-0.345519299266148,-1.4359519833353,0.020480629597407,0.150864356048505,0.130869553098331,71,"tags=34%, list=22%, signal=27%",RBBP6/ZDHHC11/LRRC34/TNFRSF10C/ID4/KCNC4/RIC3/ADAMTS17/UPB1/RGN/UNKL/C1QTNF1/EXOC7/SPOCK2/CYYR1/NECAB1/DUOX1/AGTR1/TGFB1I1/TAGLN/IL16/ZCCHC24/ZBTB47/ADAMTSL4/SLIT2/GFOD1/PDE8B/CFAP410/TCF21/PCDHGB2/PCDHGA3/PCDHGC4,LUAD,TG_Score,0.13575525812619502
SPIRA_SMOKERS_LUNG_CANCER_DN,SPIRA_SMOKERS_LUNG_CANCER_DN,10,0.565217668893222,1.45135262596009,0.0757575757575758,0.347554492291334,0.301491367973363,114,"tags=30%, list=7%, signal=28%",PRR11/DCLRE1C/GTF2H3,LUAD,TG_Score,0.2179732313575526
WIKMAN_ASBESTOS_LUNG_CANCER_DN,WIKMAN_ASBESTOS_LUNG_CANCER_DN,8,0.603778548462029,1.45322445473676,0.0813008130081301,0.354336043360434,0.307374126372843,120,"tags=62%, list=28%, signal=45%",ATL2/PATZ1/RUNX1/MIEF1/PPIG,LUAD,TG_Score,0.2294455066921606
HP_NON_SMALL_CELL_LUNG_CARCINOMA,HP_NON_SMALL_CELL_LUNG_CARCINOMA,4,0.714285714285714,1.34965945825933,0.0948616600790514,0.390650773396408,0.338875884741576,127,"tags=100%, list=29%, signal=71%",TERT/CDKN2A/PPP2R1B/EGFR,LUAD,TG_Score,0.24282982791587
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5,19,-0.475622567319605,-1.39093302269033,0.0957264957264957,0.390772391893154,0.338981384534466,128,"tags=47%, list=29%, signal=34%",KDM4B/ADGRL3/DNAJB1/SHC2/MKNK2/SMIM7/HOOK2/GNA11/ZSCAN18,LUAD,TG_Score,0.2447418738049713
SWEET_LUNG_CANCER_KRAS_UP,SWEET_LUNG_CANCER_KRAS_UP,101,0.258348771557567,1.24605717325766,0.103559870550162,0.407231671411539,0.353259233930508,133,"tags=50%, list=36%, signal=33%",REEP6/DAP/PHLDA2/PABPC1/MTIF2/PSMD5/RPL37/SND1/TMEM30B/CASK/RNF181/MIA2/PDK3/FAM162A/MRPS18B/PKHD1/TOM1L1/ATP6V1C1/NNT/MYDGF/TGIF1/CLIC1/BSG/NUCB2/VAMP8/CES3/GJA3/RPL36/CRB3/PHB2/ADGRG1/RNF4/RRBP1/RAP1GAP/CTSC/NUP88/HNF1B/LPCAT1/HSPA8/C5/BASP1/MT1F/EEF2/DLK1/RPL28/PGLS/GRHPR/RO60/GNE/HK2/POLR2E,LUAD,TG_Score,0.25430210325047803
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_NON_SMALL_CELL_LUNG_CANCER,13,0.459750678100114,1.31050039937394,0.151241534988713,0.500628625310741,0.434277825317358,158,"tags=62%, list=29%, signal=44%",TGFA/CDKN2A/E2F1/E2F3/EGF/E2F2/PIK3CG/EGFR,LUAD,TG_Score,0.30210325047801145
FALVELLA_SMOKERS_WITH_LUNG_CANCER,FALVELLA_SMOKERS_WITH_LUNG_CANCER,21,-0.404598828653611,-1.21032539953034,0.207130730050934,0.598110027687492,0.51883953292404,181,"tags=67%, list=33%, signal=45%",FER/RNF125/C1S/RAB12/RHOB/SOD2/FKBP5/RNF144B/PRKG1/CYTH1/MAT2A/MYH11/PGS1/AHRR,LUAD,TG_Score,0.34608030592734224
WP_NONSMALL_CELL_LUNG_CANCER,WP_NONSMALL_CELL_LUNG_CANCER,18,0.382775134311768,1.21905501978741,0.235576923076923,0.635086241078509,0.550915104970992,194,"tags=39%, list=14%, signal=33%",CASP3/TGFA/CDKN2A/E2F1/E2F3/PDK1/EGF,LUAD,TG_Score,0.37093690248565964
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,19,-0.385270935242078,-1.12670445713081,0.295726495726496,0.679295542102367,0.589265127596095,227,"tags=26%, list=5%, signal=25%",C2/TIMP2/TNXB/PSMA1/ALDOA,LUAD,TG_Score,0.4340344168260038
CHEN_LUNG_CANCER_SURVIVAL,CHEN_LUNG_CANCER_SURVIVAL,5,0.540191268218753,1.10847183921413,0.336614173228346,0.726876427956421,0.630539882156018,241,"tags=40%, list=20%, signal=32%",CALU/EPHX1,LUAD,TG_Score,0.4608030592734226
