"cancer","Edge_ORA","Edge_Network"
"BLCA",0,0.125
"BRCA",0.010752688172043,0.010752688172043
"CESC",0,0.5
"COAD",0,0.161290322580645
"ESCA",0,0
"KIRC",0.166666666666667,0.333333333333333
"KIRP",0,0.666666666666667
"LIHC",0.0165289256198347,0.0578512396694215
"LUAD",0.0303030303030303,0.121212121212121
"LUSC",0.0588235294117647,0.117647058823529
"PAAD",0.0454545454545455,0.0454545454545455
"PRAD",0,0.0256410256410256
"READ",0.0588235294117647,0.176470588235294
"STAD",0,0
"THCA",0,0
"UCEC",0,0.5
