"cancer","seed","sd","range","IQR","MAD","pathway","method","n_enrich","n_pathway","time","positive_rate"
"BLCA",1234,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",5,16,3.291,0.3125
"BLCA",1234,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",1,16,3.49899999999997,0.0625
"BLCA",1234,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",2,16,157.064,0.125
"BLCA",2345,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,3.21300000000002,0
"BLCA",2345,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",3,16,3.93000000000001,0.1875
"BLCA",2345,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,95.292,0
"BLCA",3456,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.72299999999996,0
"BLCA",3456,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,3.22300000000001,0
"BLCA",3456,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,87.475,0.0625
"BLCA",4567,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.71299999999997,0
"BLCA",4567,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",1,16,3.19600000000003,0.0625
"BLCA",4567,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",2,16,156.083,0.125
"BLCA",5678,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",2,16,3.20399999999995,0.125
"BLCA",5678,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,3.45799999999997,0
"BLCA",5678,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",2,16,192.623,0.125
"BLCA",6789,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",2,16,2.90499999999997,0.125
"BLCA",6789,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",1,16,3.47000000000003,0.0625
"BLCA",6789,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,143.9,0.0625
"BLCA",7890,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.99599999999998,0
"BLCA",7890,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",1,16,3.54300000000001,0.0625
"BLCA",7890,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,103.745,0.0625
"BLCA",8901,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",1,16,2.70499999999998,0.0625
"BLCA",8901,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",1,16,3.35199999999998,0.0625
"BLCA",8901,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,82.833,0.0625
"BLCA",9012,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.88799999999998,0
"BLCA",9012,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",2,16,3.43199999999996,0.125
"BLCA",9012,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,89.027,0
"BLCA",123,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.998,0
"BLCA",123,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",2,16,4.031,0.125
"BLCA",123,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,88.023,0
"BLCA",234,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",2,16,2.91900000000001,0.125
"BLCA",234,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",3,16,3.40600000000001,0.1875
"BLCA",234,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,87.877,0
"BLCA",345,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.71800000000002,0
"BLCA",345,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,3.24100000000001,0
"BLCA",345,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,78.633,0
"BLCA",456,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.70100000000002,0
"BLCA",456,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,2.99199999999999,0
"BLCA",456,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,75.374,0
"BLCA",567,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",1,16,2.697,0.0625
"BLCA",567,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",3,16,2.999,0.1875
"BLCA",567,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,84.313,0
"BLCA",678,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.709,0
"BLCA",678,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,3.029,0
"BLCA",678,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,88.821,0.0625
"BLCA",789,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",3,16,3.12099999999998,0.1875
"BLCA",789,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",1,16,3.20999999999998,0.0625
"BLCA",789,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,74.661,0.0625
"BLCA",890,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",1,16,2.92400000000001,0.0625
"BLCA",890,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",2,16,3.364,0.125
"BLCA",890,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,138.947,0.0625
"BLCA",901,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.71099999999996,0
"BLCA",901,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,3.50099999999998,0
"BLCA",901,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",2,16,165.713,0.125
"BLCA",12,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.771,0
"BLCA",12,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,3.388,0
"BLCA",12,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,83.69,0
"BLCA",23,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.875,0
"BLCA",23,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",0,16,3.363,0
"BLCA",23,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,144.781,0.0625
"BLCA",34,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",1,16,2.75899999999999,0.0625
"BLCA",34,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",1,16,3.21299999999999,0.0625
"BLCA",34,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",0,16,85.398,0
"BLCA",45,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",1,16,2.66399999999999,0.0625
"BLCA",45,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",2,16,2.959,0.125
"BLCA",45,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",1,16,84.466,0.0625
"BLCA",56,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Score",0,16,2.90000000000001,0
"BLCA",56,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_2Ddist",3,16,3.43600000000001,0.1875
"BLCA",56,0.0645587723237363,1.22067970157726,0.0548319271619717,0.0406423297153422,"TN","Edge_Topology",3,16,146.897,0.1875
