"padj_threshold","logFC_threshold","n_enrich","n_total","mean_n_DEMGI","PR","label","padj_label","logFC_label"
0.05,0,4302,38464,5666.3125,0.111844841930116,"0.1118
(5666)","0.05","log2(1)"
0.05,0.584962500721156,4281,38464,2610.9375,0.11129887687188,"0.1113
(2611)","0.05","log2(1.5)"
0.05,1,2879,38464,1040.75,0.0748492096505824,"0.0748
(1041)","0.05","log2(2)"
0.1,0,4554,38464,7392.375,0.118396422628952,"0.1184
(7392)","0.1","log2(1)"
0.1,0.584962500721156,4666,38464,3269.25,0.121308236272879,"0.1213
(3269)","0.1","log2(1.5)"
0.1,1,3305,38464,1298.9375,0.0859245008319467,"0.0859
(1299)","0.1","log2(2)"
0.2,0,4917,38464,10061.1875,0.127833818635607,"0.1278
(10061)","0.2","log2(1)"
0.2,0.584962500721156,5067,38464,4215.875,0.131733569051581,"0.1317
(4216)","0.2","log2(1.5)"
0.2,1,3825,38464,1667.1875,0.0994436356073211,"0.0994
(1667)","0.2","log2(2)"
